Genre,January,February,March,April,May,June,July,August,September,October,November,December
Science Fiction,12%,10%,11%,13%,12%,9%,7%,8%,10%,11%,12%,10%
Mystery,15%,17%,16%,14%,13%,15%,14%,15%,14%,16%,15%,17%
Romance,11%,12%,10%,12%,14%,13%,15%,14%,13%,11%,10%,10%
Historical,9%,8%,9%,7%,6%,7%,8%,9%,10%,9%,8%,7%
Fantasy,13%,11%,14%,15%,16%,14%,12%,11%,12%,14%,13%,12%
Biography,10%,11%,10%,11%,9%,10%,11%,10%,9%,10%,9%,11%
Self-Help,7%,7%,8%,6%,5%,6%,7%,8%,9%,8%,8%,7%
Children's Books,8%,9%,7%,7%,8%,9%,10%,10%,9%,6%,7%,8%
Young Adult,5%,4%,6%,5%,4%,5%,6%,5%,4%,5%,6%,5%
Cooking,3%,4%,3%,4%,5%,6%,4%,5%,5%,4%,5%,3%
Graphic Novels,3%,3%,2%,2%,3%,3%,2%,2%,2%,2%,2%,2%
Other,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
