""
Date,Stock_Index
2023-05-01,3200
2023-05-02,3225
2023-05-03,3190
2023-05-04,3215
2023-05-05,3250
2023-05-06,3265
2023-05-07,3245
2023-05-08,3270
2023-05-09,3280
2023-05-10,3260
2023-05-11,3295
2023-05-12,3300
2023-05-13,3325
2023-05-14,3340
2023-05-15,3330
2023-05-16,3350
2023-05-17,3365
2023-05-18,3370
2023-05-19,3380
2023-05-20,3400
2023-05-21,3415
2023-05-22,3430
2023-05-23,3420
2023-05-24,3445
2023-05-25,3450
2023-05-26,3470
2023-05-27,3485
2023-05-28,3490
2023-05-29,3500
2023-05-30,3515
""
