""
Date,Score
2024-01-01,10
2024-02-01,12
2024-03-01,11
2024-04-01,14
2024-05-01,16
2024-06-01,18
2024-07-01,20
2024-08-01,23
2024-09-01,22
2024-10-01,25
2024-11-01,27
2024-12-01,28
2025-01-01,30
2025-02-01,32
2025-03-01,31
2025-04-01,33
2025-05-01,36
2025-06-01,37
2025-07-01,39
2025-08-01,41
2025-09-01,42
2025-10-01,45
2025-11-01,47
2025-12-01,50
2026-01-01,52
2026-02-01,54
2026-03-01,55
2026-04-01,57
2026-05-01,59
2026-06-01,60
2026-07-01,62
2026-08-01,64
2026-09-01,66
2026-10-01,67
2026-11-01,69
2026-12-01,70
""
