""
Date,Steps
2023-01-01,5000
2023-01-02,5200
2023-01-03,5300
2023-01-04,4900
2023-01-05,5100
2023-01-06,5500
2023-01-07,5800
2023-01-08,6000
2023-01-09,6200
2023-01-10,5900
2023-01-11,6100
2023-01-12,6300
2023-01-13,6500
2023-01-14,6800
2023-01-15,7000
2023-01-16,7200
2023-01-17,7500
2023-01-18,7700
2023-01-19,7800
2023-01-20,7400
2023-01-21,7100
2023-01-22,7300
2023-01-23,7600
2023-01-24,7900
2023-01-25,8000
2023-01-26,8300
2023-01-27,8500
2023-01-28,8700
2023-01-29,8900
2023-01-30,9100
2023-01-31,9300
""
