""
Year,Quarter,GDP_Growth
2015,Q1,2.5
2015,Q2,2.7
2015,Q3,2.6
2015,Q4,2.8
2016,Q1,2.9
2016,Q2,3.0
2016,Q3,3.1
2016,Q4,3.2
2017,Q1,3.3
2017,Q2,3.4
2017,Q3,3.5
2017,Q4,3.6
2018,Q1,3.7
2018,Q2,3.8
2018,Q3,3.9
2018,Q4,4.0
2019,Q1,4.1
2019,Q2,4.2
2019,Q3,4.3
2019,Q4,4.4
2020,Q1,4.0
2020,Q2,3.8
2020,Q3,4.2
2020,Q4,4.4
2021,Q1,4.5
2021,Q2,4.6
2021,Q3,4.7
2021,Q4,4.8
2022,Q1,4.9
2022,Q2,5.0
2022,Q3,5.1
2022,Q4,5.2
2023,Q1,5.3
2023,Q2,5.4
2023,Q3,5.5
2023,Q4,5.6
2024,Q1,5.7
2024,Q2,5.8
2024,Q3,5.9
2024,Q4,6.0
""
