""
Date,Calories
2023-01-01,2000
2023-01-02,2200
2023-01-03,2500
2023-01-04,2400
2023-01-05,2700
2023-01-06,2300
2023-01-07,2100
2023-01-08,2600
2023-01-09,2500
2023-01-10,2700
2023-01-11,2800
2023-01-12,2900
2023-01-13,3100
2023-01-14,3200
2023-01-15,3300
2023-01-16,3400
2023-01-17,3500
2023-01-18,3600
2023-01-19,3700
2023-01-20,3800
2023-01-21,3900
2023-01-22,4000
2023-01-23,4100
2023-01-24,4200
2023-01-25,4300
2023-01-26,4400
2023-01-27,4500
2023-01-28,4600
2023-01-29,4700
2023-01-30,4800
""
