""
Date,Subscribers
2023-01-01,1000
2023-01-02,1012
2023-01-03,1025
2023-01-04,1050
2023-01-05,1075
2023-01-06,1100
2023-01-07,1130
2023-01-08,1150
2023-01-09,1175
2023-01-10,1200
2023-01-11,1230
2023-01-12,1260
2023-01-13,1300
2023-01-14,1325
2023-01-15,1350
2023-01-16,1375
2023-01-17,1400
2023-01-18,1430
2023-01-19,1450
2023-01-20,1480
2023-01-21,1500
2023-01-22,1525
2023-01-23,1550
2023-01-24,1575
2023-01-25,1600
2023-01-26,1625
2023-01-27,1650
2023-01-28,1675
2023-01-29,1700
2023-01-30,1725
2023-01-31,1750
""
