""
Date,Temperature
2023-05-01,22
2023-05-02,23
2023-05-03,21
2023-05-04,24
2023-05-05,25
2023-05-06,26
2023-05-07,27
2023-05-08,28
2023-05-09,29
2023-05-10,30
2023-05-11,31
2023-05-12,32
2023-05-13,33
2023-05-14,34
2023-05-15,35
2023-05-16,36
2023-05-17,37
2023-05-18,38
2023-05-19,39
2023-05-20,40
2023-05-21,41
2023-05-22,42
2023-05-23,43
2023-05-24,44
2023-05-25,45
2023-05-26,46
2023-05-27,47
2023-05-28,48
2023-05-29,49
2023-05-30,50
2023-05-31,51
2023-06-01,52
2023-06-02,53
2023-06-03,54
2023-06-04,55
2023-06-05,56
2023-06-06,57
2023-06-07,58
2023-06-08,59
2023-06-09,60
""
