""
Date,Daily_Steps
2023-01-01,5000
2023-01-02,4800
2023-01-03,5500
2023-01-04,6000
2023-01-05,6500
2023-01-06,7000
2023-01-07,7200
2023-01-08,6800
2023-01-09,6900
2023-01-10,7100
2023-01-11,7300
2023-01-12,7400
2023-01-13,7500
2023-01-14,7800
2023-01-15,8000
2023-01-16,8200
2023-01-17,8500
2023-01-18,8700
2023-01-19,9000
2023-01-20,9200
2023-01-21,9400
2023-01-22,9600
2023-01-23,9800
2023-01-24,10000
2023-01-25,10200
2023-01-26,10500
2023-01-27,10700
2023-01-28,11000
2023-01-29,11200
2023-01-30,11500
2023-01-31,11700
""
