""
Date,Book_Sales
2024-01-01,100
2024-02-01,110
2024-03-01,105
2024-04-01,120
2024-05-01,130
2024-06-01,125
2024-07-01,135
2024-08-01,140
2024-09-01,150
2024-10-01,155
2024-11-01,160
2024-12-01,170
2025-01-01,175
2025-02-01,180
2025-03-01,185
2025-04-01,190
2025-05-01,200
2025-06-01,210
2025-07-01,220
2025-08-01,225
2025-09-01,230
2025-10-01,235
2025-11-01,240
2025-12-01,250
2026-01-01,255
2026-02-01,260
2026-03-01,265
2026-04-01,270
2026-05-01,275
2026-06-01,280
2026-07-01,290
2026-08-01,295
2026-09-01,300
2026-10-01,305
2026-11-01,310
2026-12-01,315
""
