""
City,Rainfall (mm)
New York,75
Los Angeles,50
Chicago,85
Houston,130
Phoenix,25
Philadelphia,95
San Antonio,110
San Diego,30
Dallas,105
San Jose,40
Austin,120
Jacksonville,160
San Francisco,55
Columbus,90
Indianapolis,100
Fort Worth,115
Charlotte,140
Seattle,150
Denver,60
Washington D.C.,80
Boston,70
El Paso,20
Nashville,145
Detroit,125
Portland,135
Las Vegas,15
Memphis,155
Baltimore,65
Milwaukee,45
Albuquerque,35
Tucson,28
Fresno,22
Sacramento,48
Kansas City,92
Atlanta,138
Miami,170
New Orleans,200
Tampa,165
Orlando,175
Cleveland,98
""
