""
City,Temperature (°C)
Tokyo,16.5
Delhi,25.1
Shanghai,17.6
Sao Paulo,19.3
Mexico City,16.0
Cairo,22.2
Mumbai,27.2
Beijing,12.6
Dhaka,25.9
Osaka,16.8
New York City,12.5
Karachi,26.8
Buenos Aires,17.9
Chongqing,18.1
Istanbul,14.1
Kolkata,26.9
Manila,27.1
Lagos,27.1
Rio de Janeiro,23.2
Tianjin,12.5
Guangzhou,22.4
Moscow,5.8
Shenzhen,22.5
Lahore,24.3
Bangalore,24.2
Paris,11.3
Bogota,14.5
Jakarta,27.6
Chennai,28.0
Lima,18.1
Bangkok,28.1
Hyderabad,26.5
London,11.0
Tehran,17.5
Chicago,11.1
Chengdu,16.2
Nanjing,15.7
Wuhan,17.1
Ho Chi Minh City,27.8
Luanda,23.7
""
