""
City,Temperature (°C)
New York,8.7
Los Angeles,18.7
Chicago,10.4
Houston,20.6
Phoenix,22.4
Philadelphia,12.8
San Antonio,21.0
San Diego,18.0
Dallas,18.7
San Jose,15.5
Austin,20.1
Jacksonville,21.5
San Francisco,15.0
Columbus,12.4
Fort Worth,18.9
Indianapolis,12.0
Charlotte,16.4
Seattle,11.7
Denver,11.5
Washington,14.2
Boston,11.1
El Paso,18.3
Detroit,10.1
Nashville,16.2
Memphis,17.4
Portland,12.3
Oklahoma City,16.3
Las Vegas,20.3
Louisville,14.6
Baltimore,14.5
Milwaukee,9.3
Albuquerque,14.6
Tucson,20.7
Fresno,18.9
Sacramento,16.1
Kansas City,13.4
Long Beach,18.2
Mesa,21.8
Virginia Beach,15.5
Atlanta,17.0
Colorado Springs,10.2
Raleigh,16.5
Omaha,11.3
Miami,24.6
Oakland,15.7
Minneapolis,8.3
Tulsa,16.0
Wichita,13.3
Arlington,18.4
Bakersfield,19.2
New Orleans,20.3
Honolulu,25.6
""
