""
City,Population
Seattle,750000
Miami,467000
New York,8419600
Los Angeles,3980400
Chicago,2716000
Houston,2328000
Phoenix,1690000
Philadelphia,1584200
San Antonio,1547200
San Diego,1426500
Dallas,1341000
San Jose,1035300
Austin,978000
Jacksonville,911000
Fort Worth,909000
Columbus,898000
Charlotte,872000
Denver,727000
Boston,692000
Detroit,670000
Indianapolis,872000
Washington,706000
Nashville,692000
Baltimore,586000
Memphis,651000
Milwaukee,590000
Portland,654000
Las Vegas,651000
New Orleans,391000
Kansas City,491000
""
