""
Athlete,Average_Salary,Number_of_Titles,Popularity
Lionel Messi,75000000,35,95
LeBron James,85000000,29,98
Serena Williams,40000000,23,90
Tom Brady,30000000,20,85
Roger Federer,70000000,20,92
Cristiano Ronaldo,65000000,33,97
Usain Bolt,25000000,8,88
Simone Biles,12000000,32,87
Michael Phelps,20000000,28,89
Neymar,75000000,27,94
Lewis Hamilton,55000000,7,91
Rafael Nadal,50000000,20,93
Stephen Curry,80000000,4,86
Tiger Woods,45000000,15,80
Novak Djokovic,45000000,20,89
Kevin Durant,60000000,4,87
Virat Kohli,25000000,27,92
Floyd Mayweather,100000000,50,99
Kobe Bryant,25000000,5,88
Shaun White,10000000,3,70
Manny Pacquiao,20000000,12,90
Conor McGregor,32000000,22,85
""
