""
Sport,Type,Revenue,Profit,Units Sold
Basketball,Balls,12000,4000,300
Basketball,Shoes,14000,5000,200
Soccer,Balls,16000,6000,500
Soccer,Shoes,18000,7000,400
Tennis,Balls,8000,3000,150
Tennis,Shoes,10000,4000,250
Baseball,Balls,6000,2000,100
Baseball,Shoes,12000,5000,350
Golf,Balls,15000,5000,250
Golf,Shoes,20000,7000,300
Running,Shoes,18000,8000,400
Cycling,Shoes,22000,9000,500
Swimming,Suits,10000,3000,200
Swimming,Goggles,12000,4000,300
Running,Suits,14000,5000,350
Cycling,Helmets,16000,6000,450
""
