""
Country,GDP (Billions),Population (Millions),Happiness Score
United States,21433,331,7.3
China,14343,1439,5.1
Japan,5082,126,5.9
Germany,3861,83,7.0
India,2875,1380,3.9
United Kingdom,2827,67,7.2
France,2716,65,6.5
Brazil,1847,212,6.0
Italy,2001,60,6.8
Canada,1643,38,7.1
South Korea,1631,51,5.9
Russia,1699,146,5.5
Australia,1393,25,7.3
Mexico,1218,129,6.5
Indonesia,1119,273,5.3
Netherlands,914,17,7.4
Saudi Arabia,793,35,6.4
Turkey,761,84,5.2
Switzerland,703,9,7.6
Taiwan,602,24,6.4
Argentina,518,45,6.2
Nigeria,448,206,4.9
South Africa,351,59,4.8
Egypt,302,104,4.7
Thailand,495,70,6.0
Sweden,540,10,7.5
Norway,403,5,7.6
Vietnam,261,97,5.4
Philippines,356,109,6.1
Malaysia,365,32,6.3
Colombia,282,51,6.0
Singapore,372,6,7.2
""
