""
Category,Average Monthly Book Sales,Sales Numbers
Fiction,500,100000
Non-Fiction,300,60000
Children's Books,450,75000
Young Adult,350,85000
Mystery,250,50000
Science Fiction,200,40000
Fantasy,300,65000
Biography,150,30000
Self-Help,100,20000
Comics,350,70000
Poetry,50,15000
Cookbooks,75,25000
Graphic Novels,400,80000
History,225,45000
Travel,175,35000
Art & Design,275,55000
Health & Wellness,125,25000
Education,275,50000
Religion & Spirituality,150,30000
Science,100,20000
Sports,225,45000
Entertainment,200,40000
Romance,300,60000
Politics,100,20000
Technology,150,30000
Philosophy,75,15000
Gardening,50,10000
Pets,125,25000
Humor,225,45000
""
