""
Company,Revenue,Employees,MarketCap,RevenueGrowth
Amazon,469822,1600000,1630000,22
Apple,365817,147000,2745000,16
Microsoft,168088,181000,2310000,18
Alphabet,257637,135301,1820000,23
Facebook,117929,58604,1050000,37
Tesla,53823,70757,758900,71
Berkshire Hathaway,276094,360000,632000,6
Tencent,85842,94000,656000,20
Alibaba,109480,251462,587000,22
Samsung,200734,287439,510000,9
Visa,24111,21000,503000,10
Johnson & Johnson,94348,134500,428000,10
Walmart,559151,2200000,392000,7
Procter & Gamble,76118,101000,382000,5
Nestle,95256,273000,347000,8
Pfizer,41908,78000,314000,2
Intel,77367,110600,225000,8
Cisco,49601,77500,224000,1
PepsiCo,70372,291000,213000,12
Adobe,15655,24500,301000,24
""
