""
Country,Athletes,Funding,Success Rate
China,3200,1800000,70
United States,4100,2500000,85
India,2200,900000,60
Russia,2800,1200000,75
Japan,2400,1500000,68
Germany,2700,1400000,72
Brazil,2600,800000,65
Australia,3000,1300000,80
United Kingdom,2500,1600000,77
France,2300,1100000,69
Italy,2100,1000000,66
South Africa,1500,500000,55
Canada,2000,900000,73
Mexico,1700,600000,52
South Korea,1800,700000,63
Saudi Arabia,1200,400000,50
Turkey,1600,450000,58
Argentina,1300,500000,54
Spain,2000,1000000,64
Netherlands,1500,800000,67
""
