""
Sport,Type,Revenue,Profit,Units Sold
Art,Brushes,9000,3000,150
Art,Paints,15000,7000,200
Sculpture,Clay,12000,5000,250
Sculpture,Tools,14000,6000,300
Photography,Cameras,20000,9000,400
Photography,Film,10000,5000,250
Literature,Books,18000,8000,350
Literature,Magazines,16000,7000,300
Music,Instruments,22000,10000,500
Music,Accessories,11000,5000,200
Theater,Props,13000,6000,250
Theater,Costumes,14000,7000,300
Dance,Shoes,10000,4000,200
Dance,Clothing,12000,5000,250
Fashion,Jewelry,20000,9000,300
Fashion,Clothing,21000,9500,350
""
