""
Country,Calorie Consumption (kcal/day),Obesity Rate (%),Population (million)
United States,3750,36.2,331
China,3000,6.2,1402
India,2500,3.9,1380
Germany,3400,22.3,83
Japan,2700,4.3,126
United Kingdom,3400,27.8,67
Canada,3500,29.4,38
Brazil,3200,22.1,213
Australia,3400,29.0,26
France,3300,21.6,65
Russia,3200,23.1,146
South Korea,2800,5.3,52
Mexico,3200,28.9,129
Italy,3200,19.9,60
Spain,3200,23.8,47
Nigeria,2600,8.1,206
Egypt,3000,32.0,104
South Africa,2900,28.3,60
Indonesia,2800,6.9,273
Argentina,3100,27.7,45
Turkey,3200,32.1,85
Iran,3000,21.3,83
Saudi Arabia,3200,35.4,35
Pakistan,2400,8.1,225
Bangladesh,2200,4.1,164
Vietnam,2600,2.1,97
Philippines,2500,6.4,109
Thailand,2700,10.0,70
Ukraine,2900,24.6,41
Poland,3100,23.1,38
""
