""
Category,Funding Amount ($M),Success Rate (%),Duration (years)
Electric Vehicles,300,85,5
Renewable Energy,250,88,6
AI Research,500,92,7
Quantum Computing,400,80,8
Biotech,350,87,7
Robotics,200,75,4
Space Exploration,450,90,9
Blockchain,150,65,3
Cybersecurity,100,72,5
5G Technology,180,78,4
Nanotechnology,220,85,6
Green Construction,270,83,6
Advanced Materials,310,89,7
Autonomous Vehicles,380,80,8
Smart Cities,240,82,5
Wearable Tech,130,70,3
Genomics,360,90,7
Edge Computing,190,77,4
3D Printing,210,75,5
IoT,260,82,6
Synthetic Biology,330,88,7
VR/AR,140,65,4
Agritech,230,84,6
Precision Medicine,280,92,7
Energy Storage,320,86,7
""
