""
Country,Research Expenditure (billion USD),Patents Granted (thousands),Researchers (millions)
United States,600,120,16
China,500,110,14
Japan,350,90,13
Germany,300,85,12
South Korea,270,80,11.5
India,250,75,11
France,230,70,10.5
United Kingdom,220,65,10
Italy,210,60,9.5
Canada,200,55,9
Russia,190,50,8.5
Brazil,180,45,8
Australia,170,40,7.5
Spain,160,35,7
Mexico,150,30,6.5
Netherlands,140,28,6
Sweden,130,26,5.8
Switzerland,120,24,5.6
Belgium,110,22,5.4
Norway,100,20,5.2
Finland,90,18,5
Denmark,80,16,4.8
Ireland,70,14,4.6
Israel,60,12,4.4
Singapore,50,10,4.2
""
