""
Country,ArtGalleryCount,VisitorsPerYear,Population,AverageIncome
France,1200,30000,67.3,40000
Italy,1000,25000,60.4,35000
Germany,900,22000,83.1,42000
Spain,800,20000,47.4,33000
United Kingdom,750,18000,67.1,45000
Netherlands,600,15000,17.4,44000
United States,500,16000,331.0,60000
Japan,450,14000,126.3,37000
Canada,400,13000,38.0,46000
Australia,350,12000,25.7,47000
South Korea,300,11000,51.8,39000
Brazil,250,9000,213.3,9000
India,200,7000,1391.0,2100
Mexico,150,5000,128.9,9200
Russia,100,4000,144.1,11400
China,90,6000,1441.0,10400
Turkey,80,3000,84.3,9600
Argentina,70,2000,45.4,8600
South Africa,60,1000,60.0,5200
Egypt,50,1500,104.0,3100
""
