""
City,Population,Books Read
New York,8419000,5000000
Los Angeles,3980000,3500000
Chicago,2716000,2500000
Houston,2328000,2000000
Phoenix,1690000,1500000
Philadelphia,1584000,1400000
San Antonio,1547000,1300000
San Diego,1424000,1200000
Dallas,1341000,1100000
San Jose,1035000,1000000
Austin,993000,950000
Jacksonville,903000,900000
Fort Worth,902000,850000
Columbus,898000,800000
Charlotte,873000,750000
Detroit,670000,700000
El Paso,681000,650000
Seattle,745000,600000
Denver,727000,550000
Washington D.C.,705000,500000
Boston,692000,450000
Nashville,693000,400000
Oklahoma City,655000,350000
Las Vegas,651000,300000
Portland,653000,250000
""
