""
artist,album_sales,number_of_albums,popularity
The Beatles,600000000,23,98
Elvis Presley,500000000,60,95
Michael Jackson,350000000,10,97
Madonna,300000000,14,93
Elton John,300000000,31,92
Led Zeppelin,300000000,9,91
Pink Floyd,250000000,15,90
Rihanna,250000000,8,89
Eminem,230000000,11,88
Taylor Swift,200000000,10,94
Whitney Houston,200000000,7,87
Queen,200000000,15,86
Celine Dion,200000000,27,85
AC/DC,200000000,17,84
Mariah Carey,200000000,15,83
The Rolling Stones,200000000,30,82
Beyoncé,150000000,6,81
Billy Joel,150000000,13,80
Garth Brooks,150000000,12,79
U2,150000000,14,78
Katy Perry,100000000,5,77
Adele,100000000,4,76
Bruno Mars,80000000,3,75
Justin Bieber,80000000,6,74
Drake,60000000,5,73
Ariana Grande,50000000,5,72
Post Malone,50000000,4,71
Shakira,50000000,11,70
""
