""
Topic,Year,Values,Count,Size,Colors
Pop Music,2024,18000,95,190,#FF5733
Hip Hop,2024,17500,90,180,#33FF57
Classical,2024,17000,85,170,#3357FF
Rock,2024,16500,80,160,#FF33A1
Jazz,2024,16000,75,150,#FF8C33
Country,2024,15500,70,140,#57FF33
Electronic,2024,15000,65,130,#5733FF
Reggae,2024,14500,60,120,#A133FF
Blues,2024,14000,55,110,#FF33F4
Folk,2024,13500,50,100,#33FFF8
Metal,2024,13000,45,90,#F4FF33
Soul,2024,12500,40,80,#FF3388
Punk,2024,12000,35,70,#88FF33
Opera,2024,11500,30,60,#33FFBB
R&B,2024,11000,25,50,#FF5733
Ska,2024,10500,20,40,#FF3388
""
