Month, Cups of Coffee
January,232
February,218
March,321
April,349
May,291
June,280
July,270
August,256
September,389
October,406
November,450
December,479
January,241
February,230
March,336
April,358
May,305
June,289
July,277
August,268
September,395
October,412
November,463
December,489
January,251
February,240
March,343
April,361
May,312
June,300
July,285
August,272
September,410
October,425
November,475
December,492
January,260
February,249
March,350
April,370
May,320
June,310
July,295
August,281
September,425
October,438
November,490
December,505
January,269
February,257
March,358
April,378
May,329
June,318
July,304
August,290
September,440
October,451
November,503
December,520
