Age Group, Caffeine Intake (mg)
18-24,85
25-34,110
35-44,105
45-54,99
55-64,150
65-74,70
75+,45
18-24,120
25-34,80
35-44,130
45-54,95
55-64,100
65-74,85
75+,40
18-24,90
25-34,70
35-44,135
45-54,110
55-64,125
65-74,60
75+,55
18-24,133
25-34,89
35-44,118
45-54,107
55-64,160
65-74,78
75+,50
18-24,140
25-34,95
35-44,104
45-54,111
55-64,115
65-74,90
75+,35
18-24,76
25-34,125
35-44,95
45-54,92
55-64,130
65-74,64
75+,44
18-24,99
25-34,66
35-44,109
45-54,100
55-64,140
65-74,55
75+,30
18-24,101
25-34,88
35-44,97
45-54,123
55-64,145
65-74,80
75+,42
18-24,77
25-34,114
35-44,102
45-54,98
55-64,108
65-74,75
75+,47
18-24,112
25-34,103
35-44,88
45-54,109
55-64,99
65-74,82
75+,38
