Date, Steps
2023-01-01,3248
2023-01-02,5680
2023-01-03,8321
2023-01-04,4376
2023-01-05,6592
2023-01-06,2891
2023-01-07,9864
2023-01-08,2345
2023-01-09,5432
2023-01-10,6571
2023-01-11,7832
2023-01-12,4984
2023-01-13,3204
2023-01-14,10456
2023-01-15,4352
2023-01-16,5426
2023-01-17,6894
2023-01-18,7245
2023-01-19,5689
2023-01-20,3121
2023-01-21,10568
2023-01-22,2873
2023-01-23,4056
2023-01-24,5697
2023-01-25,6483
2023-01-26,7341
2023-01-27,3928
2023-01-28,10853
2023-01-29,2950
2023-01-30,5643
2023-01-31,6891
2023-02-01,7546
2023-02-02,5301
2023-02-03,2408
2023-02-04,10977
2023-02-05,3652
2023-02-06,5829
2023-02-07,7028
2023-02-08,7644
2023-02-09,5098
2023-02-10,2843
2023-02-11,11056
2023-02-12,3984
2023-02-13,5904
2023-02-14,6884
2023-02-15,7923
2023-02-16,5049
2023-02-17,3294
2023-02-18,11520
2023-02-19,4102
2023-02-20,5432
2023-02-21,6952
2023-02-22,8345
2023-02-23,5821
2023-02-24,3657
2023-02-25,11893
2023-02-26,4450
2023-02-27,5776
2023-02-28,7221
2023-02-29,8554
2023-02-30,6098
2023-02-31,3518
2023-03-01,12134
2023-03-02,4732
2023-03-03,5301
2023-03-04,6829
2023-03-05,9012
2023-03-06,4129
2023-03-07,2856
2023-03-08,12395
2023-03-09,5283
2023-03-10,5820
2023-03-11,7220
2023-03-12,9456
2023-03-13,4598
2023-03-14,3028
2023-03-15,12568
2023-03-16,5074
2023-03-17,6375
2023-03-18,7648
2023-03-19,9870
