Book Genre, Times Borrowed
Mystery, 27
Science Fiction, 31
Horror, 12
Romance, 42
Fantasy, 37
Thriller, 29
Biography, 34
History, 25
Young Adult, 47
Children's Books, 65
Self-help, 19
Guide, 23
Travel, 17
Cookbook, 22
Art, 14
Mystery, 30
Science Fiction, 32
Horror, 9
Romance, 45
Fantasy, 40
Thriller, 26
Biography, 28
History, 20
Young Adult, 49
Children's Books, 60
Self-help, 15
Guide, 18
Travel, 12
Cookbook, 24
Art, 13
Mystery, 22
Science Fiction, 34
Horror, 8
Romance, 41
Fantasy, 39
Thriller, 31
Biography, 33
History, 26
Young Adult, 44
Children's Books, 58
Self-help, 18
Guide, 20
Travel, 13
Cookbook, 25
Art, 11
Mystery, 25
Science Fiction, 28
Horror, 7
Romance, 48
Fantasy, 42
Thriller, 27
Biography, 29
