User,Daily Steps
User 1,7523
User 2,11120
User 3,9456
User 4,7210
User 5,6882
User 6,15432
User 7,3109
User 8,14250
User 9,4780
User 10,10222
User 11,6599
User 12,8733
User 13,11869
User 14,12422
User 15,5124
User 16,8420
User 17,13102
User 18,15392
User 19,17940
User 20,9350
User 21,8015
User 22,14780
User 23,16200
User 24,9975
User 25,12101
User 26,8703
User 27,14400
User 28,13120
User 29,10580
User 30,6909
User 31,5670
User 32,8990
User 33,15860
User 34,10430
User 35,7833
User 36,13640
User 37,8300
User 38,9785
User 39,12880
User 40,11308
User 41,5510
User 42,9230
User 43,14760
User 44,13202
User 45,16080
User 46,14137
User 47,8503
User 48,6779
User 49,10033
User 50,15000
User 51,7020
User 52,14003
User 53,6814
User 54,12301
User 55,9142
User 56,13119
User 57,8014
User 58,14510
User 59,7050
User 60,11012
