""
city,books_read,study_hours,colors
New York,35,14.2,#1f77b4
Los Angeles,42,15.8,#ff7f0e
Paris,38,16.5,#2ca02c
London,45,17.1,#d62728
Tokyo,50,18.3,#9467bd
Beijing,47,19.6,#8c564b
Sydney,41,16.0,#e377c2
Cape Town,36,14.7,#7f7f7f
Moscow,33,13.9,#bcbd22
Rio de Janeiro,39,15.2,#17becf
Berlin,44,17.4,#ff9896
Seoul,49,18.0,#98df8a
Madrid,37,15.5,#c5b0d5
Toronto,40,16.3,#c49c94
Chicago,35,14.1,#f7b6d2
Dubai,38,16.8,#dbdb8d
Mexico City,43,17.6,#9edae5
Buenos Aires,36,14.9,#1f77b4
Mumbai,48,19.2,#ff7f0e
Rome,37,15.4,#2ca02c
""
