""
City,Public Library Visits (millions),Books Borrowed (millions)
New York,20,15
Los Angeles,18,12
Chicago,16,11
Houston,14,9
Phoenix,12,7
Philadelphia,13,8
San Antonio,10,6
San Diego,9,7
Dallas,8,5
San Jose,7,4
Austin,11,9
Jacksonville,6,3
Fort Worth,7,4
Columbus,8,6
Charlotte,9,7
Seattle,15,12
Denver,12,10
El Paso,5,3
Detroit,6,4
Boston,17,14
Miami,14,10
Atlanta,13,11
Orlando,10,8
Minneapolis,11,9
Tampa,8,6
Cincinnati,7,5
Sacramento,9,7
Las Vegas,6,4
Portland,10,8
St. Louis,7,5
Baltimore,8,6
Milwaukee,6,4
Kansas City,7,5
Cleveland,6,3
""
