""
Species,Population,Conservation_Funding,Color
African Elephant,415000,120000000,#FF5733
Amur Leopard,84,12000000,#33FF57
Bengal Tiger,2500,70000000,#3357FF
Blue Whale,10000,150000000,#FFC300
Giant Panda,1864,100000000,#DAF7A6
Green Sea Turtle,8500,50000000,#FF33D4
Mountain Gorilla,1063,85000000,#900C3F
Snow Leopard,4000,30000000,#581845
Sumatran Orangutan,14700,45000000,#C70039
Vaquita,10,20000000,#FF5733
Javan Rhino,74,25000000,#33FF57
Hawksbill Turtle,23000,40000000,#3357FF
African Wild Dog,6600,10000000,#FFC300
Asian Elephant,50000,30000000,#DAF7A6
Borneo Pygmy Elephant,1500,15000000,#FF33D4
Chimpanzee,170000,55000000,#900C3F
Ganges River Dolphin,1800,5000000,#581845
Saola,750,8000000,#C70039
Iberian Lynx,400,20000000,#FF5733
Cross River Gorilla,250,10000000,#33FF57
""
