""
Month,Physical Activity,Healthy Eating,Mental Wellbeing
Jan-2021,50,40,30
Feb-2021,55,45,35
Mar-2021,60,50,40
Apr-2021,65,55,45
May-2021,70,60,50
Jun-2021,75,65,55
Jul-2021,80,70,60
Aug-2021,85,75,65
Sep-2021,90,80,70
Oct-2021,95,85,75
Nov-2021,100,90,80
Dec-2021,105,95,85
Jan-2022,110,100,90
Feb-2022,115,105,95
Mar-2022,120,110,100
Apr-2022,125,115,105
May-2022,130,120,110
Jun-2022,135,125,115
Jul-2022,140,130,120
Aug-2022,145,135,125
Sep-2022,150,140,130
Oct-2022,155,145,135
Nov-2022,160,150,140
Dec-2022,165,155,145
""
