 
Month,Technology,Healthcare,Finance
Jan-2021,100,150,200
Feb-2021,120,160,210
Mar-2021,130,170,220
Apr-2021,140,180,230
May-2021,150,190,240
Jun-2021,160,200,250
Jul-2021,170,210,260
Aug-2021,180,220,270
Sep-2021,190,230,280
Oct-2021,200,240,290
Nov-2021,210,250,300
Dec-2021,220,260,310
Jan-2022,230,270,320
Feb-2022,240,280,330
Mar-2022,250,290,340
Apr-2022,260,300,350
May-2022,270,310,360
Jun-2022,280,320,370
Jul-2022,290,330,380
Aug-2022,300,340,390
Sep-2022,310,350,400
Oct-2022,320,360,410
Nov-2022,330,370,420
Dec-2022,340,380,430
""
