""
months,views,likes,shares
Jan-2021,2000,100,50
Feb-2021,2100,120,60
Mar-2021,2200,130,70
Apr-2021,2300,140,75
May-2021,2400,150,80
Jun-2021,2500,160,90
Jul-2021,2600,170,100
Aug-2021,2700,180,110
Sep-2021,2800,190,120
Oct-2021,2900,200,130
Nov-2021,3000,210,140
Dec-2021,3100,220,150
Jan-2022,3200,230,160
Feb-2022,3300,240,170
Mar-2022,3400,250,180
Apr-2022,3500,260,190
May-2022,3600,270,200
Jun-2022,3700,280,210
Jul-2022,3800,290,220
Aug-2022,3900,300,230
Sep-2022,4000,310,240
Oct-2022,4100,320,250
Nov-2022,4200,330,260
Dec-2022,4300,340,270
""
