Week,Non-Fiction,Fiction,Young Adult,Children's Books,Mystery,Thriller
2023-03-01 to 2023-03-07,75,120,60,89,45,66
2023-03-08 to 2023-03-14,60,110,55,85,50,70
2023-03-15 to 2023-03-21,77,125,62,90,48,65
2023-03-22 to 2023-03-28,80,130,57,95,52,68
2023-03-29 to 2023-04-04,85,135,63,100,55,70
2023-04-05 to 2023-04-11,90,140,65,105,60,72
2023-04-12 to 2023-04-18,88,145,70,110,65,75
2023-04-19 to 2023-04-25,92,150,80,120,70,78
2023-04-26 to 2023-05-02,95,155,85,125,72,80
2023-05-03 to 2023-05-09,97,160,90,130,75,85
2023-05-10 to 2023-05-16,100,165,95,135,80,90
2023-05-17 to 2023-05-23,105,170,100,140,85,95
