Date,Tomatoes/kg,Apples/kg,Lettuce/each,Potatoes/kg,Oranges/kg,Honey/500g
2023-03-01,2.99,3.50,1.20,0.80,4.00,6.00
2023-03-08,3.10,3.60,1.25,0.85,4.20,6.20
2023-03-15,2.95,3.40,1.15,0.80,4.00,5.80
2023-03-22,3.00,3.45,1.30,0.78,4.10,6.00
2023-03-29,2.90,3.35,1.20,0.79,3.90,5.90
2023-04-05,3.05,3.55,1.28,0.82,4.15,6.15
2023-04-12,3.20,3.65,1.20,0.85,4.30,6.30
2023-04-19,3.00,3.50,1.15,0.80,4.10,6.10
2023-04-26,2.88,3.30,1.18,0.76,3.80,5.85
2023-05-03,3.15,3.55,1.22,0.81,4.25,6.20
2023-05-10,3.10,3.60,1.25,0.83,4.20,6.25
