""
Book Title,Number of Copies Sold (millions),Color Code
Harry Potter and the Philosopher's Stone,120,#FF9FAB
The Hobbit,100,#FFD700
And Then There Were None,100,#FF851B
The Da Vinci Code,80,#00AFFF
The Catcher in the Rye,65,#B10DC9
The Alchemist,65,#2ECC40
To Kill a Mockingbird,60,#FF851B
The Great Gatsby,55,#FFDC00
The Lord of the Rings,150,#85144b
Fifty Shades of Grey,100,#0074D9
Lolita,60,#001f3f
The Chronicles of Narnia,85,#39CCCC
Catcher in the Rye,65,#FF4136
The Da Vinci Code,80,#3D9970
The Kite Runner,55,#2ECC40
One Hundred Years of Solitude,47,#39CCCC
Twilight,120,#B10DC9
Pride and Prejudice,20,#85144b
Wuthering Heights,30,#FF4136
""
