""
Science & Nature,10000
Health & Psychology,9000
Business & Entrepreneurship,12000
Fashion & Beauty,7000
Astronomy & Space Exploration,5000
Music & Performing Arts,4000
Future Technologies & Society,11000
Entertainment & Leisure,6000
Travel & Adventure,8000
Environment & Climate Change,3000
Sports & Fitness,8500
Culture & Society,2000
Politics & Governance,1500
Art & Design,9500
Food & Nutrition,6500
Education & Learning,2500
Philosophy & Ethics,1400
Literature & Writing,5500
Economics & Finance,4500
History & Archaeology,3500
""
