""
Continent,Country,Investment
North America,United States,2100000
North America,Canada,1500000
North America,Mexico,950000
Europe,Germany,1750000
Europe,France,1200000
Europe,United Kingdom,1450000
Asia,China,2500000
Asia,Japan,2000000
Asia,India,1800000
South America,Brazil,1100000
South America,Argentina,800000
Africa,Nigeria,500000
Africa,South Africa,650000
Oceania,Australia,950000
Oceania,New Zealand,400000
Asia,South Korea,1200000
Europe,Italy,1100000
Asia,Indonesia,900000
North America,Cuba,300000
South America,Chile,400000
Europe,Spain,950000
Africa,Kenya,450000
""
