""
City,Category,Number of Mentions
New York,Poetry,320
New York,Novels,280
New York,Drama,150
San Francisco,Poetry,350
San Francisco,Novels,290
San Francisco,Drama,180
Seattle,Poetry,200
Seattle,Novels,150
Seattle,Drama,120
Austin,Poetry,210
Austin,Novels,170
Austin,Drama,130
Boston,Poetry,190
Boston,Novels,160
Boston,Drama,110
Chicago,Poetry,230
Chicago,Novels,190
Chicago,Drama,140
Miami,Poetry,180
Miami,Novels,140
Miami,Drama,100
Los Angeles,Poetry,240
Los Angeles,Novels,200
Los Angeles,Drama,170
New York,Short Stories,180
San Francisco,Short Stories,190
Seattle,Short Stories,140
Austin,Short Stories,160
Boston,Short Stories,150
Chicago,Short Stories,170
Miami,Short Stories,130
Los Angeles,Short Stories,210
""
