""
Continent,Country,Education_Expenditure
Asia,China,25000
Asia,India,18000
Asia,Japan,15000
Asia,South Korea,10000
Europe,Germany,22000
Europe,United Kingdom,20000
Europe,France,18000
Europe,Italy,16000
Africa,Nigeria,5000
Africa,South Africa,7000
Africa,Kenya,4000
North America,United States,40000
North America,Canada,25000
North America,Mexico,15000
South America,Brazil,12000
South America,Argentina,8000
South America,Chile,7000
Oceania,Australia,20000
Oceania,New Zealand,12000
Oceania,Fiji,5000
""
