""
Continent,Country,Population
Asia,China,1444216107
Asia,India,1393409038
Asia,Indonesia,276361783
Europe,Russia,145912025
Europe,Germany,83883596
Europe,United Kingdom,68207114
Africa,Nigeria,211400708
Africa,Ethiopia,120812698
Africa,Egypt,104258327
North America,United States,334805269
North America,Mexico,130262216
North America,Canada,38388465
South America,Brazil,214042665
South America,Colombia,51516526
South America,Argentina,45937624
Oceania,Australia,25925668
Oceania,Papua New Guinea,9264775
Oceania,New Zealand,5129293
Europe,France,65273511
Europe,Italy,60317116
Europe,Spain,46754778
Asia,Japan,126050000
Asia,South Korea,51635256
Asia,Pakistan,225200000
Asia,Bangladesh,166303498
Africa,South Africa,59308690
Africa,Kenya,53771296
Africa,Tanzania,59734218
North America,Guatemala,17915567
North America,Honduras,9904608
South America,Chile,19116201
Oceania,Fiji,896444
""
