""
Topic,Value,Color
Cardiovascular Health,15000,#D32F2F
Mental Wellness,12000,#C2185B
Nutrition,13000,#7B1FA2
Sleep Science,10000,#512DA8
Physical Fitness,17000,#303F9F
Public Health,14000,#1976D2
Neuroscience,11000,#0288D1
Addiction & Recovery,9000,#0097A7
Reproductive Health,16000,#00796B
Child Development,8000,#388E3C
Gerontology,7000,#689F38
Epidemiology,6000,#AFB42B
Immunology,5000,#FBC02D
Genetics,4000,#FFA000
Healthcare Innovation,3000,#F57C00
Social Determinants,2000,#E64A19
Disease Prevention,18000,#5D4037
Patient Advocacy,9000,#616161
Health Policy,4000,#455A64
Biomedical Research,1500,#1B5E20
""
