""
Topic,Value,Color
Ancient Rome,1200,#1b9e77
Ancient Egypt,1500,#d95f02
Medieval Europe,1300,#7570b3
Ancient Greece,1100,#e7298a
Mesoamerica,900,#66a61e
Ancient China,1400,#e6ab02
Indus Valley,950,#a6761d
Mesopotamia,1200,#666666
Ancient Persia,1250,#1b9e77
Phoenicians,800,#d95f02
Carthage,850,#7570b3
Hittites,750,#e7298a
Byzantine Empire,1350,#66a61e
Ottoman Empire,1600,#e6ab02
Minoans,700,#a6761d
Macedonian Empire,1450,#666666
Celtic Europe,1000,#1b9e77
Viking Age,1100,#d95f02
Mughal Empire,1300,#7570b3
Achaemenid Empire,1250,#e7298a
""
