""
Region,Number of Exhibits,Visitor Count
Louvre Museum,35000,5000000
British Museum,25000,6000000
Metropolitan Museum of Art,28000,4700000
Vatican Museums,27000,4500000
Smithsonian Institution,30000,7000000
Tate Modern,24000,4200000
National Gallery,26000,5200000
Musée d'Orsay,22000,3700000
Rijksmuseum,23000,3400000
State Hermitage Museum,31000,6200000
Uffizi Gallery,20000,3200000
Guggenheim Museum,18000,2800000
Museum of Modern Art,26000,4500000
Centre Pompidou,19000,2900000
Art Institute of Chicago,27000,3500000
""
