""
City,Music Genre,Number of Artists
New York,Pop,520
New York,Rap,430
New York,Rock,350
Los Angeles,Pop,480
Los Angeles,Rap,400
Los Angeles,Rock,310
Chicago,Pop,440
Chicago,Rap,380
Chicago,Rock,290
Houston,Pop,410
Houston,Rap,360
Houston,Rock,270
Phoenix,Pop,380
Phoenix,Rap,340
Phoenix,Rock,250
Philadelphia,Pop,350
Philadelphia,Rap,310
Philadelphia,Rock,230
San Antonio,Pop,320
San Antonio,Rap,290
San Antonio,Rock,210
San Diego,Pop,300
San Diego,Rap,270
San Diego,Rock,190
Dallas,Pop,280
Dallas,Rap,250
Dallas,Rock,170
San Jose,Pop,260
San Jose,Rap,240
San Jose,Rock,150
Seattle,Pop,240
Seattle,Rap,220
Seattle,Rock,130
Miami,Pop,220
Miami,Rap,200
Miami,Rock,110
Atlanta,Pop,200
Atlanta,Rap,180
Atlanta,Rock,90
Boston,Pop,180
Boston,Rap,160
Boston,Rock,70
""
