Genre,Book Title,Author,Loans This Month
Fiction,The Great Gatsby,F. Scott Fitzgerald,12
Mystery,Sherlock Holmes,Arthur Conan Doyle,8
Fantasy,Harry Potter,J.K. Rowling,14
Science Fiction,Dune,Frank Herbert,10
Romance,Pride and Prejudice,Jane Austen,7
History,The Guns of August,Barbara Tuchman,5
Biography,Steve Jobs,Walter Isaacson,9
Self-Help,How to Win Friends and Influence People,Dale Carnegie,11
Children's,Llama Llama Red Pajama,Anna Dewdney,16
Thriller,Gone Girl,Gillian Flynn,13
Young Adult,The Hunger Games,Suzanne Collins,15
Classic,Moby Dick,Herman Melville,3
Humor,Bossypants,Tina Fey,6
Adventure,Into the Wild,Jon Krakauer,4
Poetry,Milk and Honey,Rupi Kaur,7
