""
Category, Online Articles, Podcasts, Documentaries, Books, Webinars, Research Papers
Environment, 30%, 20%, 15%, 10%, 15%, 10%
Climate Change, 25%, 15%, 20%, 15%, 10%, 15%
Sustainable Energy, 20%, 15%, 25%, 15%, 10%, 15%
Wildlife Conservation, 30%, 20%, 15%, 10%, 10%, 15%
Pollution Control, 25%, 20%, 15%, 15%, 15%, 10%
Recycling, 20%, 25%, 15%, 10%, 20%, 10%
Forestry, 25%, 15%, 15%, 15%, 20%, 10%
Climate Policy, 15%, 20%, 25%, 15%, 10%, 15%
Marine Biology, 20%, 20%, 20%, 10%, 15%, 15%
Sustainable Agriculture, 25%, 15%, 20%, 15%, 15%, 10%
""
