""
Date,Pageviews
2023-01-01,500
2023-01-02,600
2023-01-03,750
2023-01-04,680
2023-01-05,700
2023-01-06,810
2023-01-07,900
2023-01-08,850
2023-01-09,920
2023-01-10,830
2023-01-11,890
2023-01-12,930
2023-01-13,980
2023-01-14,1050
2023-01-15,1100
2023-01-16,1200
2023-01-17,1150
2023-01-18,1170
2023-01-19,1230
2023-01-20,1300
2023-01-21,1350
2023-01-22,1400
2023-01-23,1390
2023-01-24,1420
2023-01-25,1380
2023-01-26,1450
2023-01-27,1490
2023-01-28,1550
2023-01-29,1500
2023-01-30,1480
2023-01-31,1600
""
