""
Date,Steps
2023-03-01,5000
2023-03-02,6200
2023-03-03,7100
2023-03-04,8000
2023-03-05,8300
2023-03-06,7800
2023-03-07,7500
2023-03-08,8900
2023-03-09,9200
2023-03-10,9400
2023-03-11,9800
2023-03-12,10200
2023-03-13,10500
2023-03-14,11000
2023-03-15,9500
2023-03-16,10000
2023-03-17,10300
2023-03-18,10800
2023-03-19,11200
2023-03-20,11500
2023-03-21,11700
2023-03-22,12000
2023-03-23,12500
2023-03-24,12800
2023-03-25,13000
2023-03-26,13200
2023-03-27,13500
2023-03-28,13700
2023-03-29,14000
2023-03-30,14200
2023-03-31,14500
""
