""
City,Year,TouristsArrivals
New York,2019,50
Los Angeles,2019,45
Tokyo,2019,60
London,2019,55
Paris,2019,53
Beijing,2019,48
Sydney,2019,42
Cape Town,2019,30
Mumbai,2019,28
Mexico City,2019,25
New York,2020,40
Los Angeles,2020,35
Tokyo,2020,50
London,2020,47
Paris,2020,45
Beijing,2020,42
Sydney,2020,35
Cape Town,2020,25
Mumbai,2020,23
Mexico City,2020,20
New York,2021,60
Los Angeles,2021,55
Tokyo,2021,70
London,2021,65
Paris,2021,63
Beijing,2021,58
Sydney,2021,50
Cape Town,2021,40
Mumbai,2021,38
Mexico City,2021,35
""
