table
Topic,Count
Sustainable_Fashion,120000
Eco_Friendly_Beauty_Products,90000
Organic_Cosmetics,85000
Ethical_Fashion_Brands,78000
Cruelty_Free_Cosmetics,75000
Recycled_Materials_Fashion,72000
Fair_Trade_Beauty,70000
Vegan_Beauty_Products,69000
Second_Hand_Fashion,68000
Handmade_Jewelry,67000
Upcycled_Fashion,66000
Natural_Skincare,65000
Zero_Waste_Fashion,64000
Slow_Fashion,63000
Biodegradable_Beauty_Products,62000
Plastic_Free_Beauty,61000
Sustainable_Fashion_Events,60000
Eco_Conscious_Fashion_Shows,59000
Green_Fashion_Initiatives,58000
Renewable_Fashion,57000
""
