""
Model, MPG, Horsepower, CO2_Emissions
Toyota Prius, 50, 121, 170
Honda Civic, 32, 158, 225
Ford F150, 22, 325, 411
Chevrolet Impala, 27, 197, 341
Tesla Model 3, 130, 283, 0
BMW 3 Series, 30, 255, 344
Audi A4, 27, 248, 352
Subaru Outback, 28, 182, 313
Hyundai Elantra, 33, 147, 224
Toyota Camry, 29, 203, 309
Honda Accord, 30, 192, 301
Ford Mustang, 21, 310, 409
Kia Soul, 27, 147, 256
Chevrolet Bolt, 119, 200, 0
Nissan Leaf, 111, 147, 0
Mercedes-Benz C-Class, 24, 255, 369
Porsche 911, 20, 379, 427
Jeep Wrangler, 18, 285, 492
""
