""
City,Average_Temperature,Humidity,Population
New York,3.1,65,8419000
Los Angeles,16.7,63,3980400
Chicago,10.8,70,2706000
Houston,20.6,76,2325500
Phoenix,23.4,39,1663000
Philadelphia,12.0,68,1584200
San Antonio,20.9,66,1547700
San Diego,17.5,73,1423800
Dallas,18.3,65,1340500
San Jose,15.2,76,1026900
Austin,20.2,65,993200
Jacksonville,21.3,75,903000
Fort Worth,18.5,65,902000
Columbus,11.7,72,898000
Charlotte,16.1,68,885400
Seattle,10.5,77,753600
Denver,10.1,52,727200
El Paso,17.8,32,688700
Detroit,10.1,71,674800
Washington,13.8,71,705700
Boston,10.2,67,691500
""
