""
Country,GDP per Capita (USD),Life Expectancy (Years),Population (Millions)
United States,62589,78.86,331
China,10410,76.91,1438
Japan,40200,84.55,126
Germany,46445,81.18,83
India,2170,69.73,1367
United Kingdom,42230,81.40,66
France,41465,82.66,65
Brazil,8898,75.88,213
Italy,35220,84.01,60
Canada,46214,82.30,38
Russia,11290,72.41,145
South Korea,31846,83.30,51
Spain,29760,83.56,47
Australia,55434,83.44,25
Mexico,10044,75.07,128
Indonesia,4240,71.72,273
Netherlands,52249,82.28,17
Saudi Arabia,23670,75.13,34
Turkey,9125,77.69,84
Switzerland,83780,83.78,8
""
