""
Country,GDP,LifeExpectancy,Population,HappinessScore
USA,21427700,78.5,331002651,7.0
China,14342903,76.4,1439323776,5.1
Japan,5081770,84.6,126476461,5.9
Germany,3845630,81.3,83783942,6.7
India,2875142,69.7,1380004385,4.0
UK,2825208,81.2,67886011,7.2
France,2715518,82.7,65273511,6.5
Italy,2001196,83.4,60461826,6.0
Brazil,1444731,75.7,212559417,6.3
Canada,1647784,82.3,37742154,7.6
Russia,1483490,72.6,145912025,5.9
South Korea,1655608,82.8,51269185,6.4
Australia,1392687,83.3,25499884,7.2
Spain,1393355,83.6,46754778,6.4
Mexico,1265772,75.0,128932753,6.5
""
