""
University,Average_Ranking,Graduation_Rate,Student_Faculty_Ratio,Total_Enrollment
Harvard,2,98,7,21000
Stanford,3,94,5,17000
MIT,1,92,3,11000
Caltech,4,91,3,2200
Princeton,5,97,5,8200
Yale,6,95,6,12500
Columbia,7,93,6,32000
Chicago,8,94,5,15000
UPenn,9,95,6,26000
Northwestern,10,92,6,21000
Duke,11,95,7,16000
Dartmouth,12,97,7,6600
Brown,13,94,6,10000
Vanderbilt,14,93,7,13000
Rice,15,94,6,7800
Notre Dame,16,95,8,12300
Washington_St_Louis,17,94,8,15000
Cornell,18,93,9,24000
UCLA,19,91,18,44000
Johns_Hopkins,20,93,7,27000
""
