""
Country,Carbon_Emissions_MtCO2,Renewable_Energy_GWh,Total_Energy_Consumption_MWh,Population_Millions
United States,5100,700000,4000000,331
China,10600,2200000,10000000,1441
Japan,1200,100000,3000000,126
Germany,750,160000,2500000,83
India,2500,300000,6000000,1380
United Kingdom,400,80000,1300000,68
France,300,120000,1100000,65
Brazil,500,250000,1000000,213
Canada,700,180000,900000,38
Russia,1700,70000,4000000,146
Australia,400,50000,1000000,25
South Korea,700,40000,1600000,52
Italy,350,80000,1200000,60
Mexico,450,60000,1300000,129
Spain,300,90000,1000000,47
""
