""
City,Average_Fitness_Level,Gym_Density,Population
New York,7.5,8.2,8419000
Los Angeles,8.0,7.9,3980400
Chicago,7.2,8.0,2706000
Houston,6.8,7.4,2325500
Phoenix,7.1,6.8,1663000
Philadelphia,6.9,7.0,1584200
San Antonio,6.5,6.9,1547700
San Diego,8.1,8.5,1423800
Dallas,7.0,7.6,1340500
San Jose,7.8,7.2,1026900
Austin,8.3,8.7,993200
Jacksonville,6.7,6.6,903000
Fort Worth,6.9,6.8,902000
Columbus,7.2,7.1,898000
Charlotte,7.0,7.0,885400
Seattle,7.9,8.3,753600
Denver,8.2,8.0,727200
El Paso,6.4,6.4,688700
Detroit,6.6,6.7,674800
Washington,7.6,7.5,705700
Boston,7.8,8.1,691500
""
